Depth,A,B,C,D,E,FCA,FCB,FCC,FCD,FCE,CLA,CLB,CLC,CLD,CLE,ELA,ELB,ELC,ELD,ELE
202.35,15.29,9.26,17.89,14.85,16.71,16.68651331,11.50856962,18.65272664,15.25159297,17.69466254,16.55106845,11.91497512,18.61336743,15.07492904,17.47291657,14.78340316,8.963328363,17.62082298,14.72615416,16.43284545
202.4,15.19,9.05,17.55,14.989999,17.18,16.58540841,11.3421028,18.36495385,15.36963653,18.06576328,16.42070221,11.8629113,18.37440161,15.195671,17.85541278,14.68203582,8.748768634,17.27457552,14.86753151,16.9055133
202.45,15.070001,8.88,17.34,15.15,17.57,16.47634406,11.20953578,18.18418292,15.50334319,18.37563985,16.28977513,11.83951167,18.2304241,15.32844546,18.17663899,14.56214197,8.573781339,17.05963217,15.02888235,17.29809428
202.5,14.95,8.77,17.17,15.31,17.79,16.39150558,11.11370376,18.03016039,15.63251304,18.54846617,16.2317965,11.82825782,18.09730425,15.44564462,18.32699756,14.44200305,8.456765011,16.88474654,15.19020374,17.51935855
202.55,14.850001,8.75,17.12,15.45,17.74,16.31881478,11.08870499,17.99464894,15.75686307,18.51072677,16.18799676,11.8386807,18.07644482,15.5702586,18.27642145,14.34352134,8.429085453,16.8341588,15.33042826,17.46861073
202.6,14.79,8.84,17.3,15.6,17.45,16.28118655,11.11837781,18.15072833,15.8770344,18.28810284,16.15926269,11.85283404,18.23598729,15.67825304,18.06223439,14.28462837,8.507066918,17.01808818,15.48051304,17.17541831
202.65,14.75,8.98,17.74,15.77,17.04,16.26705919,11.20883599,18.51861195,16.01390671,17.97988971,16.15269333,11.8949767,18.59859577,15.80642774,17.80415373,14.24749565,8.641103384,17.46531509,15.65049623,16.76257379
202.7,14.75,9.13,18.34,15.94,16.64,16.27927878,11.31209031,19.01225213,16.14688794,17.67183818,16.1391951,11.97173642,19.07914842,15.92840685,17.5371312,14.25119077,8.788123476,18.0738183,15.81972164,16.36233289
202.75,14.76,9.29,18.95,16.09,16.4,16.30449688,11.42707862,19.51156961,16.26067539,17.49861563,16.15670062,12.10933798,19.5186154,16.03169352,17.40313356,14.26364404,8.939759645,18.69502343,15.96896202,16.12371086
202.8,14.79,9.42,19.45,16.21,16.32,16.34406524,11.50424008,19.92932405,16.34733616,17.44425734,16.19780407,12.25144673,19.86609053,16.10143036,17.36171143,15.26050158,9.063825146,19.55375321,16.08701713,16.04756467
202.85,14.830001,9.52,19.72,16.34,16.47,16.38331005,11.57887738,20.15613185,16.44557834,17.57536007,16.24241869,12.37916652,20.03030534,16.18514611,17.47864732,15.28151348,9.162862147,19.84494582,16.21512772,16.20227026
202.9,14.88,9.55,19.7,16.53,16.72,16.41904848,11.65488714,20.13046664,16.59516526,17.77981821,16.27887373,12.49864864,19.97449584,16.32172675,17.6586332,15.32992927,10.26211897,19.8361662,16.40339732,16.45856938
202.95,14.95,9.52,19.39,16.79,16.89,16.46413765,11.72201556,19.86780136,16.79904135,17.92186113,16.31149166,12.59598207,19.71960246,16.51658237,17.79047248,14.45434188,10.22272158,19.54001687,16.66417667,16.63396816
203,15.03,9.45,18.83,17.07,16.86,16.51413527,11.72230581,19.41754944,17.01711871,17.90679614,16.34418388,12.65082015,19.31400145,16.72360852,17.77257474,14.531303,10.13105261,18.99290935,16.94555675,16.60691411
203.05,15.089999,9.39,18.16,17.27,16.66,16.55795897,11.67637359,18.88585411,17.16952994,17.75251087,16.40512364,12.64029694,18.84458253,16.86397975,17.61904389,14.58763629,10.07585961,18.34612276,17.14694122,16.40929387
203.1,15.13,9.35,17.46,17.31,16.49,16.5901371,11.63164472,18.32994396,17.18948033,17.62012618,16.47434161,12.58576174,18.35514442,16.86804468,17.46365459,14.62513331,10.0472322,17.18651886,17.18701296,16.24104067
203.15,15.12,9.34,16.79,17.18,16.44,16.58772003,11.6149899,17.77555598,17.08162971,17.58015539,16.52694085,12.52706757,17.88026907,16.74503749,17.4083966,14.61378492,10.04401942,16.50341648,17.0551447,16.19444485
203.2,15.080001,9.33,16.11,16.97,16.54,16.56499449,11.59910176,17.21425842,16.91323368,17.65083654,16.55982241,12.47619966,17.41070198,16.5741198,17.45567535,14.57361019,10.04383955,15.80996538,16.8418138,16.29694041
203.25,15,9.33,15.4,16.76,16.82,16.51391597,11.59087599,16.61516707,16.74161482,17.85010079,16.57088319,12.43409974,16.92204796,16.40410542,17.59375739,14.49438898,10.05420482,15.08285629,16.62903275,17.0028243
203.3,14.91,9.33,14.75,16.66,17.29,16.4534136,11.58169103,16.05635707,16.66001124,18.20028691,16.56637619,12.41084542,16.47078924,16.33049655,17.86864185,14.40444013,10.06295385,14.41433232,16.52734363,17.59895905
203.35,14.830001,9.35,14.3,16.65,17.73,16.38965652,11.5911759,15.65364118,16.65140893,18.52593161,16.5229767,12.39433294,16.09157771,16.33070101,18.14150702,14.32307807,10.091155,13.95103981,16.51844907,17.99322444
203.4,14.76,9.37,14.13,16.79,17.86,16.33903936,11.60279655,15.47820705,16.76479613,18.61018058,16.4991367,12.38118412,15.90649335,16.45905418,18.21683975,14.24914878,9.082617239,13.76754204,16.66165616,18.10619946
203.45,14.7,9.36,14.19,17.01,17.48,16.29974781,11.59080241,15.50111965,16.93843071,18.28022227,16.5228317,12.36354224,15.88315005,16.6381595,17.89567259,14.18303693,9.072654449,13.8217309,16.88748796,17.73418348
203.5,14.65,9.33,14.36,17.25,16.75,16.25478208,11.56430744,15.64585272,17.13517036,17.68388396,16.53042326,12.3493443,16.01336453,16.83450409,17.36766518,14.12721893,9.041196293,13.99388049,17.13250892,16.46855081
203.55,14.61,9.24,14.52,17.4,15.89,16.21799868,11.48690591,15.7773685,17.25967114,16.98215441,16.52962276,12.3128791,16.14768261,16.94974297,16.74310506,14.0826049,8.945079042,14.15657129,17.28608337,16.21023629
203.6,14.61,9.11,14.6,17.45,15.049999,16.2115911,11.37986017,15.85395551,17.29525863,16.31555994,16.5165056,12.2513895,16.22792596,16.97199902,16.17271133,14.08125856,8.810230553,14.24159373,17.69701335,14.75311582
203.65,14.65,8.92,14.6,17.38,14.33,16.23963611,11.23242181,15.87318785,17.23783326,15.74260616,16.49394904,12.17170539,16.26779961,16.89404453,15.6720602,14.12353879,8.615805263,14.24504576,17.5120561,14.75500147
203.7,14.73,8.71,14.49,17.26,13.759999,16.30712487,11.06901949,15.7802251,17.13853643,15.29532893,16.49654107,12.08049465,16.18781395,16.78471302,15.27134537,14.20712499,8.401497317,14.13300436,17.38989217,14.2212734
203.75,14.830001,8.5,14.17,17.09,13.43,16.40655687,10.89225057,15.51953293,16.99809012,15.04300778,16.56580818,11.98137737,15.95516779,16.62947979,15.01902188,14.31162842,8.18377609,13.8088624,17.22413678,13.92031384
203.8,14.9,8.3,13.65,16.87,13.35,16.46946552,10.70987555,15.0961472,16.82168206,14.9817875,16.61464099,11.8715336,15.60873628,16.44333044,14.90609659,14.3859987,7.973677467,13.27982995,17.00345227,13.84601911
203.85,14.9,8.11,13.07,16.61,13.43,16.45913693,10.54318129,14.62925726,16.61063024,15.04570534,16.57290721,11.76386463,15.2208666,16.2268027,14.9310762,14.38951706,7.774535758,12.69147431,16.74392278,13.11647875
203.9,14.88,7.89,12.58,16.37,13.609999,16.4252847,10.37535391,14.23533204,16.40903555,15.1820882,16.47489645,11.66832918,14.90264399,16.01692797,15.02737173,14.37159752,7.547867233,12.19221664,16.51192832,13.29568613
