Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
54.05,13.509999,2.34,9.63,162.45,13.66420291,2.354271249,7.139715765,151.7966105,13.69773108,2.366877444,8.019501047,145.1393038,13.01440439,2.34167707,10.1034039,162.6795099
54.1,13.12,2.34,9.25,161.78,13.33918138,2.354043473,6.804256151,151.2834863,13.36411883,2.366072552,7.630458186,145.0036468,12.61993357,2.341699501,9.704313546,162.0170383
54.15,12.91,2.34,8.98,160.67,13.17543084,2.354287104,6.629245145,150.3873838,13.18322477,2.365942943,7.401565926,144.5674975,12.41081829,2.341646596,9.418674234,160.916737
54.2,12.75,2.34,8.85,160.01,13.05668232,2.354747661,6.5830888,149.8373951,13.08465083,2.366261108,7.276776037,144.2124239,12.2535093,2.341577802,9.277706527,160.2634613
54.25,12.549999,2.34,8.56,159.78,12.9004061,2.355023736,6.404081792,149.6245944,12.99457692,2.36665828,7.118291218,144.0486529,12.05358642,2.341528335,8.979241107,160.0371412
54.3,12.31,2.34,8.48,159.12,12.70694855,2.355156115,6.346585554,149.0752986,12.88145123,2.366955049,7.019890227,143.797737,11.8120943,2.341505771,8.892931626,159.3838789
54.35,12.1,2.34,8.61,159.12,12.54522863,2.355363964,6.457044365,149.0670475,12.76669259,2.367183192,7.028821752,143.7440374,11.60242678,2.341453434,9.014579591,159.3849317
54.4,11.97,2.33,8.62,159.34001,12.44227794,2.348809642,6.453275515,149.2511089,12.67304132,2.365325739,7.038758791,143.8194444,11.47090256,2.331130735,9.018402971,159.6029872
54.45,11.91,2.33,8.45,160.44998,12.38818684,2.348648424,6.304409235,150.1526551,12.59632137,2.364225814,6.977851102,144.1968058,11.41029373,2.331137211,8.879628985,160.6895306
54.5,11.9,2.34,8.21,161.55998,12.369491,2.354644188,6.079669622,151.0784058,12.55381414,2.365302742,6.865318052,144.6594427,11.39696913,2.341507006,8.639875796,161.7908036
