Depth,Dense,Res,Ng,Cal,SP
64.7,2.18,10.83,8.94,153.81,-215.48
64.75,2.2,10.56,8.79,153.2,-215.89
64.8,2.2,10.4,8.15,152.83,-216.42
64.85,2.2,10.31,7.99,152.6,-216.92
64.9,2.2,10.26,7.83,152.43,-217.22
64.95,2.2,10.24,8.16,152.39,-217.28
65,2.19,10.24,8.6,152.53,-217.19
65.05,2.18,10.26,9.15,152.81,-217.19
65.1,2.17,10.3,9.35,153.12,-217.49
65.15,2.15,10.39,9.1,153.33,-218.11
65.2,2.14,10.51,8.69,153.43,-218.71
65.25,2.12,10.68,8.36,153.58,-218.85
65.3,2.11,10.89,8.41,153.81,-218.11
65.35,2.11,11.12,8.55,154.15,-216.53
65.4,2.12,11.27,8.99,154.45,-214.45
65.45,2.12,11.27,8.91,154.62,-212.46
65.5,2.12,11.09,8.78,154.62,-210.99
65.55,2.12,10.84,8.14,154.48,-210.19
65.6,2.13,10.66,7.78,154.27,-209.93
65.65,2.14,10.55,7.38,154.07,-210
65.7,2.15,10.52,7.63,153.9,-210.28
65.75,2.16,10.45,8,153.69,-210.86
65.8,2.18,10.36,9.13,153.39,-211.81
65.85,2.19,10.28,10.03,153.07,-213.19
65.9,2.2,10.29,11.03,152.77,-214.73
65.95,2.21,10.37,11.21,152.47,-216.21
66,2.21,10.49,11.25,152.21,-217.43
66.05,2.22,10.62,11.09,152.05,-218.39
66.1,2.23,10.74,11.47,152.11,-219.11
66.15,2.24,10.86,12.11,152.26,-219.63
66.2,2.24,11.02,12.92,152.44,-219.99
66.25,2.25,11.18,13.41,152.59,-220.09
66.3,2.25,11.37,13.66,152.75,-219.82
66.35,2.26,11.59,13.61,153.03,-219.02
66.4,2.27,11.85,12.86,153.52,-217.72
66.45,2.27,12.17,11.89,154.47,-216.17
66.5,2.28,12.55,10.95,155.74,-214.85
66.55,2.28,12.98,11.17,157.16,-214.25
66.6,2.28,13.45,11.62,158.4,-214.57
66.65,2.27,13.89,12.36,159.47,-215.72
66.7,2.27,14.16,12.6,160.29,-217.27
66.75,2.27,14.18,12.79,160.89,-218.83
66.8,2.27,13.87,12.88,161.35,-220.01
66.85,2.27,13.28,12.93,161.83,-220.65
66.9,2.27,12.52,12.56,162.24,-220.75
66.95,2.27,11.74,12.3,162.37,-220.61
67,2.27,11.09,11.97,161.95,-220.52
67.05,2.27,10.65,12.05,161.18,-220.65
67.1,2.28,10.45,11.81,160.1,-220.94
67.15,2.28,10.51,11.57,158.84,-221.26
