Depth,Den,Cal,SP,Res,Ng
125.35,0,210.84,-557.17,15.69,6.65
125.4,0,210.62,-557.12,15.56,6.66
125.45,0,210.4,-557.06,15.42,6.46
125.5,0,209.51,-557,15.26,6.22
125.55,0,208.18,-556.94,15.11,6.14
125.6,0,206.63,-556.87,14.98,5.87
125.65,0,206.18,-556.81,14.89,5.6
125.7,0,205.74,-556.75,14.75,6.1
125.75,0,205.29,-556.69,14.61,6.74
125.8,0,205.07,-556.63,14.46,7.57
125.85,0,205.07,-556.58,14.32,7.66
125.9,0,205.29,-556.52,14.22,7.85
125.95,0,205.74,-556.47,14.16,8.3
126,0,206.4,-556.41,14.16,8.83
126.05,0,207.74,-556.37,14.17,9.43
126.1,0,208.85,-556.34,14.13,9.65
126.15,0,210.4,-556.35,13.99,9.82
126.2,0,211.95,-556.38,13.74,9.69
126.25,0,212.84,-556.45,13.53,9.5
126.3,0,211.73,-556.53,13.48,8.44
126.35,0,210.4,-556.6,13.69,7.39
126.4,0,210.4,-556.66,14.17,6.17
126.45,0,210.84,-556.68,14.78,6.11
126.5,0,211.95,-556.66,15.4,6.66
126.55,0,212.84,-556.6,15.86,7.15
126.6,0,213.29,-556.5,16.11,7.36
126.65,0,214.17,-556.37,16.04,7.1
126.7,0,215.73,-556.22,15.7,7.29
126.75,0,219.28,-556.06,15.14,7.48
126.8,0,222.61,-555.9,14.5,7.95
126.85,0,225.05,-555.74,13.91,8.49
126.9,0,223.94,-555.6,13.45,9.09
126.95,0,221.94,-555.47,13.09,9.92
127,0,221.28,-555.35,12.8,10.6
127.05,0,220.83,-555.24,12.53,11.3
127.1,0,221.06,-555.15,12.27,11.38
127.15,0,221.5,-555.07,12.06,11.54
127.2,0,221.06,-555,11.9,11.58
127.25,0,220.83,-554.93,11.79,11.62
127.3,0,220.61,-554.88,11.67,11.24
127.35,0,221.94,-554.83,11.54,10.77
127.4,0,221.94,-554.8,11.42,10.4
127.45,0,220.61,-554.77,11.31,10.24
127.5,0,219.72,-554.75,11.23,10.13
127.55,0,221.28,-554.75,11.13,10.07
127.6,0,222.83,-554.74,11.06,10.44
127.65,0,223.28,-554.74,11.03,10.7
127.7,0,223.5,-554.74,11.06,11.03
127.75,0,225.72,-554.73,11.1,10.95
127.8,0,227.27,-554.73,11.14,11.4
127.85,0,223.28,-554.73,11.13,11.87
127.9,0,217.95,-554.75,11.08,12.45
127.95,0,212.62,-554.79,10.99,12.46
128,0,209.29,-554.86,10.9,12.18
128.05,0,204.85,-554.99,10.86,11.73
128.1,0,202.85,-555.17,10.9,11.38
128.15,0,200.63,-555.42,11.02,10.62
128.2,0,198.86,-555.74,11.22,9.8
128.25,0,198.19,-556.12,11.51,9.09
128.3,0,197.52,-556.54,12,9.18
