Depth,Den,Ng,Cal,SP,Res
68.6,2.1,3.94,186.42,-154.69,13.33
68.65,2.1,4.16,186.87,-148.32,13.76
68.7,2.09,4.02,186.87,-143,13.69
68.75,2.08,4.24,186.42,-139.55,13.43
68.8,2.07,5.05,185.09,-138.46,13.48
68.85,2.05,6.06,183.76,-139.32,14.09
68.9,2.04,7.02,183.32,-141.39,15.32
68.95,2.04,7.82,185.09,-143.9,16.76
69,2.03,8.57,188.42,-146.25,17.8
69.05,2.02,9.28,190.42,-148.15,18
69.1,2.02,9.37,191.31,-149.17,17.58
69.15,2.03,9.73,190.86,-148.92,16.89
69.2,2.03,10.02,189.75,-147.08,16.21
69.25,2.04,10.55,188.42,-143.81,15.52
69.3,2.04,10.71,188.2,-139.59,14.87
69.35,2.06,10.45,188.64,-134.94,14.21
69.4,2.07,10.03,190.86,-130.23,13.55
69.45,2.09,9.9,194.19,-125.7,12.92
69.5,2.1,9.79,199.97,-121.5,12.42
69.55,2.11,9.74,203.3,-117.88,12.11
69.6,2.12,9.51,201.96,-115.05,12.02
69.65,2.12,9.85,199.08,-113.16,12.08
69.7,2.13,9.87,199.97,-112.27,12.22
69.75,2.14,9.74,202.41,-112.21,12.39
69.8,2.15,9.12,203.3,-112.81,12.6
69.85,2.15,8.57,200.63,-113.79,12.85
69.9,2.15,7.94,198.41,-114.99,13.17
69.95,2.15,7.5,202.85,-116.29,13.54
70,2.15,6.69,205.52,-117.74,13.91
70.05,2.15,6.04,200.85,-119.33,14.23
70.1,2.15,5.35,195.75,-121.01,14.46
70.15,2.16,5.48,195.3,-122.66,14.66
70.2,2.15,5.16,196.19,-124.23,14.91
70.25,2.15,5.33,197.08,-125.72,15.29
70.3,2.16,5.3,197.75,-127.13,15.75
70.35,2.16,5.93,197.97,-128.39,16.2
70.4,2.16,6.65,198.41,-129.41,16.56
70.45,2.16,7.51,198.63,-130.14,16.82
70.5,2.16,8.23,196.64,-130.66,16.98
70.55,2.16,8.55,194.86,-131.22,17.07
70.6,2.14,8.56,193.97,-132.07,17.02
70.65,2.13,8.42,193.53,-133.52,16.78
70.7,2.12,8.4,193.08,-135.56,16.33
70.75,2.12,8.76,192.86,-138.24,15.8
70.8,2.12,9.23,192.86,-141.33,15.29
