Depth,Den,Ng,SP,Res,Cal
121.85,0,11.38,-556.7,13.48,203.96
121.9,0,11.18,-556.73,13.9,204.18
121.95,0,10.91,-556.74,14.31,204.41
122,0,11.22,-556.73,14.67,204.85
122.05,0,10.83,-556.69,14.83,205.52
122.1,0,10.81,-556.64,14.76,205.74
122.15,0,10.53,-556.59,14.49,205.52
122.2,0,10.47,-556.55,14.14,204.85
122.25,0,9.6,-556.53,13.81,204.63
122.3,0,8.61,-556.53,13.55,204.63
122.35,0,7.84,-556.54,13.44,204.63
122.4,0,7.29,-556.56,13.47,204.63
122.45,0,6.83,-556.58,13.66,204.85
122.5,0,6.02,-556.6,13.92,205.29
122.55,0,5.57,-556.61,14.17,205.96
122.6,0,5.12,-556.61,14.3,206.18
122.65,0,5.14,-556.62,14.31,205.74
122.7,0,4.85,-556.64,14.26,205.52
122.75,0,4.6,-556.68,14.19,205.29
122.8,0,4.29,-556.73,14.14,205.29
122.85,0,4.58,-556.8,14.14,205.29
122.9,0,4.77,-556.88,14.25,205.52
122.95,0,5.07,-556.98,14.43,205.52
123,0,5.17,-557.08,14.68,205.74
123.05,0,5.65,-557.17,14.96,206.18
123.1,0,6.16,-557.23,15.34,206.85
123.15,0,6.36,-557.25,15.83,207.51
123.2,0,6.71,-557.23,16.5,208.85
123.25,0,7.01,-557.17,17.09,209.73
123.3,0,7.34,-557.06,17.4,211.07
123.35,0,7.27,-556.93,17.19,211.73
123.4,0,7.12,-556.78,16.66,212.62
123.45,0,7.08,-556.62,15.94,212.62
123.5,0,7.24,-556.47,15.28,211.95
123.55,0,7.46,-556.32,14.69,210.84
123.6,0,7.74,-556.19,14.23,208.85
123.65,0,7.84,-556.08,13.78,205.29
123.7,0,8.12,-555.99,13.4,204.18
123.75,0,8.39,-555.93,13.08,203.52
123.8,0,8.7,-555.89,12.88,203.52
123.85,0,8.82,-555.87,12.74,203.52
123.9,0,8.9,-555.86,12.68,203.3
123.95,0,9.14,-555.87,12.67,203.07
124,0,9.01,-555.89,12.7,203.07
124.05,0,8.83,-555.92,12.74,202.85
124.1,0,8.17,-555.95,12.8,202.85
124.15,0,7.6,-555.99,12.86,202.85
124.2,0,6.95,-556.03,12.95,202.85
124.25,0,6.31,-556.07,13.05,202.85
124.3,0,5.45,-556.12,13.13,202.63
124.35,0,4.55,-556.18,13.18,202.85
124.4,0,3.8,-556.25,13.2,203.07
124.45,0,3.47,-556.33,13.23,203.3
124.5,0,3.25,-556.41,13.3,203.52
124.55,0,3.15,-556.51,13.46,203.96
124.6,0,3.08,-556.6,13.68,204.41
124.65,0,3.25,-556.7,13.96,205.07
124.7,0,3.47,-556.8,14.21,205.74
124.75,0,3.74,-556.9,14.41,206.85
124.8,0,4.04,-556.99,14.57,207.51
124.85,0,4.56,-557.09,14.76,208.85
124.9,0,5.12,-557.17,14.99,209.96
