Depth,Den,Ng,Cal,SP,Res
68.8,2.44,7.33,145.13,-134.75,25.68
68.85,2.44,6.65,142.44,-134.27,26.09
68.9,2.45,6.2,140.2,-133.76,26.45
68.95,2.46,5.77,139.48,-133.35,26.56
69,2.45,5.39,139.51,-133.2,26.19
69.05,2.45,5.43,139.64,-133.41,25.38
69.1,2.45,5.57,139.36,-133.99,24.34
69.15,2.45,6,139.06,-134.89,23.58
69.2,2.46,6.11,138.9,-135.88,23.22
69.25,2.47,6.22,138.9,-136.77,23.09
69.3,2.47,6.87,138.82,-137.36,22.84
69.35,2.48,7.82,138.54,-137.58,22.43
69.4,2.5,9.14,138.02,-137.41,22.28
69.45,2.5,10.19,137.46,-136.98,22.7
69.5,2.51,11.27,137.07,-136.44,23.77
69.55,2.51,12.29,136.93,-135.95,25.15
69.6,2.51,12.71,136.95,-135.54,26.57
69.65,2.5,13,137.06,-135.23,27.96
69.7,2.5,12.94,137.26,-135,29.34
69.75,2.49,13.39,137.51,-134.86,30.74
69.8,2.49,13.87,137.68,-134.78,32.11
69.85,2.48,14.45,137.72,-134.71,33.36
69.9,2.47,14.46,137.72,-134.64,34.5
69.95,2.46,14.38,137.77,-134.57,35.61
70,2.46,14.17,137.96,-134.56,36.77
70.05,2.45,13.51,138.23,-134.55,37.94
70.1,2.45,12.74,138.5,-134.43,38.76
70.15,2.45,12.05,138.65,-134.02,39.05
70.2,2.45,12.16,138.47,-133.21,38.76
70.25,2.45,12.44,138.11,-131.98,37.95
70.3,2.44,12.52,137.91,-130.41,36.64
70.35,2.44,12.39,138.33,-128.79,34.73
70.4,2.43,12.18,139.35,-127.4,32.22
70.45,2.42,12.12,140.57,-126.52,29.67
70.5,2.41,11.66,141.69,-126.22,27.32
70.55,2.4,11.16,142.47,-126.3,25.63
70.6,2.39,10.96,142.98,-126.45,24.45
70.65,2.38,11.22,143.24,-126.41,23.85
70.7,2.38,11.84,143.39,-126.2,23.52
70.75,2.39,12.01,143.43,-126.06,23.33
70.8,2.4,12.17,143.29,-126.28,23.1
70.85,2.41,12.44,143,-127.03,22.84
70.9,2.42,13.52,142.61,-128.22,22.58
70.95,2.43,14.79,142.25,-129.62,22.46
71,2.44,15.46,141.96,-130.89,22.52
71.05,2.45,15.45,141.75,-131.88,22.73
71.1,2.45,15.18,141.65,-132.53,22.96
71.15,2.45,15.53,141.67,-132.94,23.07
71.2,2.46,16.14,141.88,-133.23,23.05
