Den,Ng,Cal,SP,Res
2.39,14.94,145.35,-173.85,26.25
2.39,14.44,144.69,-174.7,25.18
2.4,14.28,143.58,-175.48,24.22
2.4,13.74,142.91,-176.09,23.57
2.41,13.2,142.25,-176.49,23.19
2.42,12.39,141.8,-176.63,23.11
2.42,11.92,141.36,-176.61,23.2
2.41,11.46,140.69,-176.51,23.36
2.41,11.28,140.03,-176.47,23.47
2.41,10.95,139.58,-176.54,23.62
2.42,10.65,139.36,-176.73,24.01
2.42,10.32,139.36,-177.07,24.8
2.44,10.39,139.58,-177.51,25.83
2.44,10.74,139.8,-177.96,26.73
2.45,11.23,140.25,-178.24,27.21
2.45,11.79,141.14,-178.24,27.26
2.46,12.2,142.02,-178.03,27.16
2.47,12.6,142.69,-177.85,27.06
2.48,12.16,142.69,-177.93,27.06
2.49,11.75,142.69,-178.29,27.11
2.49,11.18,142.69,-178.77,27.25
2.5,11.59,142.69,-179.13,27.5
2.5,11.95,142.25,-179.24,27.78
2.49,12.11,142.25,-179.15,28.02
2.48,11.81,142.69,-179,28.06
2.48,11.38,142.47,-178.87,27.91
2.48,11.64,142.47,-178.78,27.66
2.47,12.01,142.25,-178.76,27.53
2.48,12.73,142.91,-178.84,27.51
2.47,13.55,143.58,-179.06,27.53
2.47,14.46,143.36,-179.35,27.43
2.46,15.4,142.91,-179.68,27.98
2.46,15.77,141.36,-179.94,28.49
2.47,16.63,139.8,-180.09,28.26
2.47,17.28,138.69,-180.05,27.02
2.48,18.38,138.47,-179.76,25.45
2.5,19.13,138.69,-179.12,24.46
2.51,19.9,138.69,-178.2,23.6
2.52,20.21,138.69,-177.15,22.94
2.53,20.02,138.47,-176.36,22.43
2.53,19.65,138.03,-176.09,22.24
2.53,19.33,137.36,-176.49,22.36
2.52,18.8,136.92,-177.38,22.65
2.51,18.43,136.47,-178.52,22.92
2.49,18.04,136.25,-179.66,23.07
2.46,17.69,136.25,-180.69,23.16
2.44,17.15,136.25,-181.54,23.28
2.43,16.37,136.47,-182.19,23.45
2.42,15.5,136.7,-182.61,23.62
2.41,14.57,136.47,-182.79,23.77
2.4,13.82,136.47,-182.71,23.93
2.39,13.88,136.25,-182.45,24.12
2.39,13.94,136.03,-182.17,24.29
2.38,14.16,136.03,-182.07,24.44
2.38,13.82,136.03,-182.28,24.62
2.38,13.4,135.81,-182.68,24.9
2.39,12.84,135.59,-183.08,25.16
2.4,12.65,135.59,-183.2,25.24
2.42,12.9,135.59,-183.02,24.97
2.43,13.31,135.59,-182.58,24.39
2.44,13.84,136.03,-182.1,23.61
2.45,14.43,136.47,-181.62,22.98
2.46,14.85,138.47,-181.18,22.79
2.47,15.06,141.14,-180.72,23.13
2.48,15.18,141.36,-180.24,24.01
2.48,15.65,136.25,-179.77,25.07
2.49,16.17,128.48,-179.3,26.28
2.5,16.36,127.59,-178.89,27.37
2.5,16.51,128.04,-178.65,28.54
2.5,16.57,127.37,-178.69,29.5
2.48,16.82,127.15,-179.06,30
2.47,16.88,129.37,-179.68,29.84
2.47,16.74,131.81,-180.34,29.3
2.47,16.52,133.37,-180.84,28.71
2.47,16.45,134.48,-181.07,27.97
2.46,16.6,135.14,-180.98,27.07
2.45,16.81,135.36,-180.71,26.12
2.44,17.08,135.36,-180.4,25.51
2.43,17.38,135.14,-180.28,25.33
2.42,17.69,134.92,-180.53,25.49
2.42,17.21,134.92,-181.19,25.85
2.43,16.58,134.7,-182.19,26.33
2.43,15.76,134.48,-183.22,26.89
2.43,15.47,134.48,-184,27.41
2.43,15.05,134.25,-184.2,27.83
2.43,14.5,134.48,-183.75,28.06
2.43,13.91,134.48,-182.71,28.16
2.43,13.48,134.48,-181.42,28.12
2.44,12.88,134.48,-180.13,27.91
2.44,12.27,134.48,-179.04,27.47
2.44,11.83,134.7,-178.05,28.01
2.44,12.02,134.7,-177.18,28.82
2.44,12.77,134.7,-176.46,29.09
2.45,13.56,134.48,-176.12,28.53
2.45,14.07,134.48,-176.29,27.95
2.45,14.33,134.48,-176.97,28.25
2.46,14.48,134.48,-177.91,28.35
2.46,14.56,134.7,-178.73,28.1
2.46,14.61,134.7,-178.97,27.31
2.47,14.83,134.92,-178.29,26.33
2.47,15.29,135.14,-176.63,25.4
2.46,15.42,135.59,-174.38,24.83
2.44,15.14,135.81,-172.07,24.54
2.4,14.71,135.81,-170.25,24.45
2.37,14.37,135.81,-169.24,24.54
2.35,13.62,135.81,-169.11,24.92
2.33,12.8,135.81,-169.77,25.61
2.32,11.88,135.81,-171.03,26.68
2.31,11.34,135.81,-172.72,27.79
2.3,10.84,135.81,-174.47,28.7
2.29,10.44,135.81,-175.95,28.93
2.29,10.06,135.59,-176.82,28.55
2.28,9.9,135.59,-177.1,27.66
2.3,9.79,135.36,-176.91,26.57
2.33,9.94,135.36,-176.61,25.5
2.36,9.75,135.36,-176.48,24.59
2.38,9.54,135.36,-176.71,23.88
2.39,9.26,135.36,-177.25,23.11
2.4,9.16,135.36,-177.83,22.21
2.41,9.28,135.14,-178.15,21.15
2.41,9.49,134.92,-178.02,20.29
2.41,9.95,134.92,-177.55,19.84
2.42,10.29,134.92,-176.89,19.93
2.43,10.65,134.92,-176.32,20.53
2.43,10.79,134.92,-176.08,21.35
2.43,11.49,135.14,-176.42,22.36
2.43,12.26,135.14,-177.38,23.45
2.43,12.95,135.36,-178.8,24.64
2.44,13.44,135.14,-180.22,25.64
2.44,13.88,135.14,-181.22,26.22
2.44,14.66,135.14,-181.47,26.48
2.45,14.91,134.92,-180.99,26.79
2.45,15.11,134.92,-179.87,27.27
2.45,14.81,134.92,-178.34,27.72
2.45,14.58,135.14,-176.58,27.79
2.45,14.28,135.14,-174.87,27.39
2.46,13.97,135.14,-173.5,26.68
2.46,13.25,135.14,-172.75,25.88
2.46,12.44,135.36,-172.83,25.35
2.47,11.94,135.59,-173.68,25.24
2.48,11.88,135.36,-175,25.76
2.48,11.96,135.14,-176.32,26.82
2.49,11.77,134.92,-177.24,28.28
2.48,11.75,134.48,-177.71,29.91
2.48,11.9,133.59,-177.85,31.47
2.48,12.33,131.15,-177.81,32.56
2.48,12.45,129.15,-177.45,32.81
2.48,12.36,128.26,-176.63,32.27
2.48,12.16,128.7,-175.17,31.25
2.48,12.1,129.81,-173.43,30.31
2.48,12.45,130.48,-171.87,29.73
2.47,12.91,130.48,-171.09,29.82
2.46,12.87,130.48,-171.27,30.61
2.46,12.36,130.04,-172.34,31.7
2.45,11.45,129.59,-174.04,32.74
2.45,10.96,129.37,-176.06,33.36
2.44,10.88,129.37,-178.14,33.66
2.43,10.97,129.37,-179.91,33.72
2.42,11.17,129.37,-181.08,33.59
2.42,11.03,128.93,-181.53,33.26
2.42,10.84,128.7,-181.44,32.84
2.42,10.57,128.7,-181.11,32.5
2.42,10.08,128.7,-180.88,32.3
2.42,9.93,128.7,-180.93,32.03
2.41,9.8,128.48,-181.4,31.45
2.42,9.95,128.48,-182.2,30.46
2.42,9.95,128.48,-183.16,29.23
2.43,9.98,128.7,-184.02,27.9
2.44,9.59,128.93,-184.68,26.49
2.44,9.11,128.7,-185.08,25.21
2.44,8.54,128.48,-185.31,24.27
2.45,8.13,128.26,-185.4,24.13
2.45,7.73,127.82,-185.34,24.94
2.46,7.37,127.15,-184.94,26.56
2.46,7.02,126.71,-184.09,28.88
2.47,6.68,126.48,-182.79,31.34
2.47,6.54,126.26,-181.4,33.23
2.48,6.44,126.04,-180.36,33.54
2.48,6.4,125.6,-180.05,32.31
2.48,6.17,125.37,-180.54,30.27
2.49,5.71,125.37,-181.67,28.44
2.49,5.38,126.04,-183.16,27.2
2.49,5.02,126.48,-184.71,26.68
