Depth,Den,Ng,Cal,SP,Res
122.85,0,4.58,205.29,-556.8,14.14
122.9,0,4.77,205.52,-556.88,14.25
122.95,0,5.07,205.52,-556.98,14.43
123,0,5.17,205.74,-557.08,14.68
123.05,0,5.65,206.18,-557.17,14.96
123.1,0,6.16,206.85,-557.23,15.34
123.15,0,6.36,207.51,-557.25,15.83
123.2,0,6.71,208.85,-557.23,16.5
123.25,0,7.01,209.73,-557.17,17.09
123.3,0,7.34,211.07,-557.06,17.4
123.35,0,7.27,211.73,-556.93,17.19
123.4,0,7.12,212.62,-556.78,16.66
123.45,0,7.08,212.62,-556.62,15.94
123.5,0,7.24,211.95,-556.47,15.28
123.55,0,7.46,210.84,-556.32,14.69
123.6,0,7.74,208.85,-556.19,14.23
123.65,0,7.84,205.29,-556.08,13.78
123.7,0,8.12,204.18,-555.99,13.4
123.75,0,8.39,203.52,-555.93,13.08
123.8,0,8.7,203.52,-555.89,12.88
123.85,0,8.82,203.52,-555.87,12.74
123.9,0,8.9,203.3,-555.86,12.68
123.95,0,9.14,203.07,-555.87,12.67
124,0,9.01,203.07,-555.89,12.7
124.05,0,8.83,202.85,-555.92,12.74
124.1,0,8.17,202.85,-555.95,12.8
124.15,0,7.6,202.85,-555.99,12.86
124.2,0,6.95,202.85,-556.03,12.95
124.25,0,6.31,202.85,-556.07,13.05
124.3,0,5.45,202.63,-556.12,13.13
124.35,0,4.55,202.85,-556.18,13.18
124.4,0,3.8,203.07,-556.25,13.2
124.45,0,3.47,203.3,-556.33,13.23
124.5,0,3.25,203.52,-556.41,13.3
124.55,0,3.15,203.96,-556.51,13.46
124.6,0,3.08,204.41,-556.6,13.68
124.65,0,3.25,205.07,-556.7,13.96
124.7,0,3.47,205.74,-556.8,14.21
124.75,0,3.74,206.85,-556.9,14.41
124.8,0,4.04,207.51,-556.99,14.57
124.85,0,4.56,208.85,-557.09,14.76
124.9,0,5.12,209.96,-557.17,14.99
124.95,0,5.34,210.84,-557.24,15.27
125,0,5.69,211.29,-557.29,15.56
125.05,0,6.01,211.51,-557.32,15.81
125.1,0,6.34,211.51,-557.33,15.99
125.15,0,6.47,211.73,-557.32,16.06
125.2,0,6.56,211.73,-557.3,16.03
125.25,0,6.61,211.51,-557.26,15.94
