Depth,Den,Ng,Cal,SP,Res
73.8,2.43,11.46,120.71,-233.34,13.33
73.85,2.43,10.88,120.71,-231.43,13.39
73.9,2.43,10.27,120.71,-228.24,13.46
73.95,2.43,9.83,120.49,-223.96,13.52
74,2.42,9.42,120.49,-219.37,13.62
74.05,2.42,8.85,120.49,-215.33,13.79
74.1,2.41,8.25,120.93,-212.61,14.01
74.15,2.4,8.02,121.82,-211.71,14.18
74.2,2.39,8.26,122.71,-212.74,14.27
74.25,2.39,8.66,122.93,-215.44,14.33
74.3,2.4,8.38,122.93,-219.11,14.44
74.35,2.41,8.41,122.93,-222.91,14.6
74.4,2.42,8.36,122.93,-226.13,14.86
74.45,2.43,8.95,122.93,-228.45,15.21
74.5,2.44,9.26,122.93,-229.89,15.79
74.55,2.45,9.24,122.71,-230.68,16.61
74.6,2.46,8.9,122.93,-231.13,17.66
74.65,2.47,8.83,123.15,-231.6,18.74
74.7,2.48,8.95,123.15,-232.37,19.51
74.75,2.48,9.16,122.71,-233.69,19.59
74.8,2.49,9.02,122.27,-235.43,19.15
74.85,2.5,9.24,121.82,-237.27,18.62
74.9,2.5,9.45,121.6,-238.52,18.55
74.95,2.5,9.94,122.04,-238.62,19.01
75,2.5,10.28,123.15,-237.44,19.97
75.05,2.5,10.64,123.82,-235.36,21.39
75.1,2.5,10.58,123.82,-233.27,23.19
75.15,2.5,10.45,123.38,-231.86,25.19
75.2,2.5,10.61,122.93,-231.64,26.68
75.25,2.5,10.81,121.16,-232.64,27.23
75.3,2.51,11.08,118.71,-234.72,26.78
75.35,2.51,11.18,117.83,-237.44,26.04
75.4,2.51,11.45,118.05,-240.15,25.5
75.45,2.5,11.73,118.27,-242.3,25.67
75.5,2.5,11.84,118.27,-243.48,26.47
75.55,2.49,11.71,118.05,-243.67,27.85
75.6,2.48,11.51,118.05,-242.97,29.33
75.65,2.48,11.24,118.05,-241.51,30.22
75.7,2.47,11.35,118.27,-239.36,29.77
75.75,2.46,11.52,118.27,-236.53,28
75.8,2.46,11.57,118.71,-233.49,25.47
75.85,2.45,11.62,118.71,-230.87,22.91
75.9,2.44,11.64,118.71,-229.42,20.77
75.95,2.44,12.05,118.94,-229.34,19.21
76,2.43,12.54,119.82,-230.45,18.33
76.05,2.42,13.12,120.71,-232.22,17.92
76.1,2.42,13.73,121.38,-233.98,17.87
76.15,2.42,13.77,121.6,-235.26,17.99
76.2,2.42,13.7,122.04,-235.83,18.17
76.25,2.42,13.09,122.49,-235.94,18.35
76.3,2.42,13.16,121.82,-236.02,18.6
76.35,2.42,13.25,120.49,-236.33,18.92
76.4,2.42,13.88,119.6,-236.87,19.34
76.45,2.41,14.03,118.71,-237.29,19.71
76.5,2.4,13.98,116.49,-237.27,19.88
76.55,2.4,13.6,114.72,-236.48,19.78
76.6,2.41,12.92,114.05,-235.08,19.47
76.65,2.42,12.1,114.27,-233.43,19.08
76.7,2.43,11.2,114.27,-232.27,18.71
76.75,2.45,10.86,114.27,-232.04,18.41
76.8,2.45,11.01,114.27,-232.87,18.26
76.85,2.46,11.38,114.05,-234.42,18.25
76.9,2.47,11.28,113.61,-236.15,18.37
76.95,2.47,10.73,112.72,-237.66,18.5
77,2.47,10,112.05,-238.69,18.65
77.05,2.48,9.75,110.94,-239.27,18.86
77.1,2.48,9.75,110.28,-239.28,19.24
77.15,2.5,9.7,109.83,-238.59,19.73
77.2,2.51,9.69,110.06,-237.07,20.24
77.25,2.52,9.68,111.39,-235.03,20.61
77.3,2.53,10.07,114.94,-233.28,20.78
77.35,2.53,10.95,117.16,-232.52,20.72
77.4,2.53,12.01,118.27,-233.06,20.38
77.45,2.53,12.79,118.27,-234.48,19.95
77.5,2.52,13.36,117.83,-236.34,19.6
77.55,2.52,13.83,117.38,-238.22,19.55
77.6,2.52,14.64,117.16,-239.96,19.82
77.65,2.53,15.29,117.38,-241.44,20.41
77.7,2.53,15.99,118.05,-242.54,21.34
77.75,2.53,16.66,118.49,-243.27,22.37
77.8,2.52,17.13,118.27,-243.68,23.28
77.85,2.51,17.76,117.38,-243.9,23.82
